week,region,category,revenue,orders,profit,avg_discount_rate,avg_order_value,profit_margin,revenue_ratio,orders_ratio,profit_ratio,discount_ratio
2019-01-28,East,Dairy Products,318261.08999999997,15,50714.630000000005,0.24933333333333335,21217.406,0.1593491368988902,0.7418317857433697,0.8823529411764706,0.7307360877979007,0.9597863788617301
2019-02-04,East,Dairy Products,313369.06,14,47665.26,0.1907142857142857,22383.504285714287,0.15210582691220378,0.7701970799088418,0.8433734939759036,0.7258895498333668,0.7400899342296272
2019-02-11,East,Dairy Products,374335.35,14,46973.79,0.34285714285714286,26738.239285714284,0.12548585112252958,0.9566811079585388,0.8659793814432989,0.7496049811117818,1.3907434622912618
2019-02-18,East,Dairy Products,385931.08,14,60225.31,0.19142857142857142,27566.505714285715,0.15605198213111002,0.9924578141584769,0.8828828828828829,0.9967255461682692,0.7354455014601805
2019-02-25,East,Dairy Products,436049.39,19,73636.24,0.22894736842105262,22949.96789473684,0.1688713290024325,1.1223998974278728,1.216,1.219174711594848,0.9096703715595267
2019-03-04,East,Dairy Products,513000.82,18,80613.06,0.245,28500.045555555556,0.15714021665696362,1.2344315458284791,1.099236641221374,1.2450852728827042,0.9867856455058204
2019-03-11,East,Dairy Products,267944.9,15,45320.68,0.26,17862.993333333336,0.1691417899724906,0.6344176059978289,0.916030534351145,0.674978844861486,1.0764050507069696
2019-03-18,East,Dairy Products,334013.85,13,55606.53,0.22846153846153847,25693.373076923075,0.1664797133412282,0.8367664910661406,0.8,0.8791366074177491,0.9424820172422124
2019-03-25,East,Dairy Products,421705.32,18,68183.3,0.25833333333333336,23428.073333333334,0.1616847043807747,1.1463645414864385,1.180327868852459,1.1838521732241938,1.0670840051674906
2019-04-01,East,Dairy Products,170125.28,10,26519.97,0.24500000000000002,17012.528,0.15588494549428517,0.4467649294256844,0.64,0.4436408138885996,1.0073276714095971
2019-04-08,East,Dairy Products,291626.51,10,48863.58,0.17099999999999999,29162.651,0.16755534330538058,0.8036262155209841,0.6611570247933884,0.8552323397659503,0.6839904396940663
