order_date,region,category,revenue,orders,units_sold,profit,avg_discount_rate,avg_order_value,profit_margin,revenue_ratio,orders_ratio,profit_ratio,discount_ratio
2019-01-09,East,Dairy Products,40616.93,2,11,3866.04,0.45499999999999996,20308.465,0.09518296926921853,0.9255702337813457,0.7692307692307692,0.49738572854805,1.7669902912621358
2019-01-10,East,Dairy Products,151032.86,4,22,17754.67,0.2575,37758.215,0.11755501418697892,3.6812214706473045,1.7142857142857142,2.4956845384865693,1.1551401869158877
2019-01-11,East,Dairy Products,113979.83,4,36,17354.47,0.3,28494.9575,0.1522591321639978,2.844006005835593,1.647058823529412,2.5474638345969516,1.2824427480916027
2019-01-12,East,Dairy Products,23739.829999999998,2,15,3516.5,0.4,11869.914999999999,0.14812658725862823,0.5913568676494183,0.8421052631578947,0.5456888312827974,1.5292712066905614
2019-01-13,East,Dairy Products,68336.45999999999,2,10,10107.1,0.245,34168.229999999996,0.14790201306886547,1.302500663556663,0.782608695652174,1.312461530337252,0.9382978723404255
2019-01-14,East,Dairy Products,93535.97,3,16,11800.17,0.28,31178.656666666666,0.12615649359278575,1.595713769774337,1.111111111111111,1.361626210603846,1.0566037735849056
2019-01-15,East,Dairy Products,80581.86,2,16,17519.84,0.17,40290.93,0.21741667417455987,1.4533301007248727,0.7586206896551725,2.137067424804691,0.6131147540983607
2019-01-17,East,Dairy Products,118771.64,4,27,22840.839999999997,0.2675,29692.91,0.1923088710402584,2.0006045745849907,1.5294117647058822,2.649132408032753,0.9727272727272727
2019-01-18,East,Dairy Products,71451.65,3,16,11526.279999999999,0.2133333333333333,23817.216666666664,0.16131579886538658,1.1735864511065468,1.1666666666666665,1.2450657739915316,0.7975077881619935
2019-01-19,East,Dairy Products,59625.3,3,9,9274.68,0.22333333333333336,19875.100000000002,0.15554940604072431,0.9793397944367023,1.1666666666666665,1.0018485263869852,0.8348909657320872
2019-01-20,East,Dairy Products,29384.21,1,9,3499.32,0.49,29384.21,0.11908844920452176,0.45386353048480776,0.375,0.3443155703255917,1.8317757009345792
2019-01-21,East,Dairy Products,128751.07,4,17,20063.16,0.1275,32187.7675,0.15582907388653158,1.9758697473749711,1.4883720930232558,1.9577030519525587,0.4827450207059752
2019-01-22,East,Dairy Products,32404.58,2,14,4576.46,0.43,16202.29,0.14122880160767398,0.4997926489350092,0.7391304347826086,0.4490668680584232,1.643004307922832
2019-01-23,East,Dairy Products,80770.05,3,14,11207.53,0.32666666666666666,26923.350000000002,0.13875848783057582,1.2847867874378107,1.1489361702127658,1.1413798905622532,1.1904842247342668
2019-01-24,East,Dairy Products,85655.73,2,5,17720.269999999997,0.08,42827.865,0.20687781191054,1.2912772930849603,0.7450980392156863,1.7107095861180377,0.3
2019-01-25,East,Dairy Products,61330.15,2,10,10910.29,0.205,30665.075,0.17789439614936536,0.9488303744907369,0.7547169811320755,1.0835165463773475,0.7459066100667069
2019-01-26,East,Dairy Products,117874.20999999999,5,25,18369.8,0.288,23574.841999999997,0.15584240182818618,1.8021969159709275,1.875,1.8145639996498493,1.0385804235832856
2019-01-27,East,Dairy Products,77699.44,3,21,18013.89,0.16333333333333333,25899.813333333335,0.23184066706272272,1.1714726735444867,1.1379310344827587,1.720714998032256,0.6086956521739131
2019-01-28,East,Dairy Products,56456.31,2,5,6900.47,0.175,28228.155,0.12222672718071728,0.8539873631757163,0.7666666666666666,0.6579374497900858,0.6589358799454297
2019-01-29,East,Dairy Products,97288.6,4,22,14977.06,0.305,24322.15,0.15394465538613977,1.4251409290604067,1.4769230769230768,1.3846570057301275,1.1444056490697796
2019-01-30,East,Dairy Products,22879.239999999998,2,11,4747.16,0.16999999999999998,11439.619999999999,0.2074876613034349,0.3333062852902301,0.7352941176470588,0.4275049830974171,0.6478987753442755
2019-01-31,East,Dairy Products,10715.5,1,6,2374.61,0.09,10715.5,0.22160515141617285,0.15717739872468559,0.3714285714285714,0.21700499875346624,0.34745594931696694
2019-02-01,East,Dairy Products,5245.66,1,10,767.95,0.12,5245.66,0.14639721217158566,0.07574647701662438,0.36486486486486486,0.06923412343929679,0.460249064823145
2019-02-02,East,Dairy Products,78413.23000000001,3,20,12966.130000000001,0.26,26137.743333333336,0.1653564073307527,1.160016387116354,1.1052631578947367,1.1933335995765089,1.0097554209625965
2019-02-03,East,Dairy Products,47262.549999999996,2,3,7981.25,0.42000000000000004,23631.274999999998,0.16887049048348007,0.7200789010570908,0.7532467532467532,0.7548936465274069,1.6685693410658022
2019-02-04,East,Dairy Products,20402.34,2,9,4028.62,0.09000000000000001,10201.17,0.1974587228719843,0.3167012926643018,0.7733333333333333,0.3914490859278636,0.36151253520476484
2019-02-05,East,Dairy Products,101171.18,3,11,17689.07,0.17666666666666667,33723.72666666666,0.17484297405644572,1.5463147197390554,1.1447368421052633,1.696321967930849,0.7042705278592376
2019-02-07,East,Dairy Products,37219.93,1,9,3596.28,0.33,37219.93,0.09662242782294325,0.5762917214704014,0.3918918918918919,0.3470774750432274,1.3306143257710936
2019-02-08,East,Dairy Products,109681.5,4,7,15192.35,0.2425,27420.375,0.138513331783391,1.6425311701983756,1.5466666666666666,1.4158433790035632,0.9934546653167895
2019-02-09,East,Dairy Products,12523.55,1,9,1583.48,0.22,12523.55,0.12644018668827928,0.18361540577885468,0.3783783783783784,0.14425440163193232,0.8763901074146967
2019-02-10,East,Dairy Products,32370.559999999998,3,17,5575.46,0.14666666666666667,10790.186666666666,0.17223860198896776,0.4738980595439923,1.1666666666666665,0.5102563357511692,0.5817769697542088
2019-02-11,East,Dairy Products,85774.98000000001,2,10,12204.66,0.21,42887.490000000005,0.14228694661310323,1.2119628864046608,0.7567567567567568,1.0770756156890675,0.85885388772579
2019-02-13,East,Dairy Products,52864.89,2,11,8221.27,0.22999999999999998,26432.445,0.15551474712233396,0.8402959838091882,0.8,0.7956268848546704,0.9676207647810081
2019-02-14,East,Dairy Products,19996.17,1,9,2557.45,0.41,19996.17,0.1278969922740205,0.3070298769048717,0.4,0.24028588169864934,1.7755780682081816
2019-02-15,East,Dairy Products,124354.39,4,21,13358.41,0.4275,31088.5975,0.10742210226755967,1.9128817918045542,1.588235294117647,1.2527551250215867,1.8555582348685795
2019-02-16,East,Dairy Products,55502.18,4,17,5357.36,0.35,13875.545,0.09652521756803066,0.8740144401577653,1.6119402985074627,0.5087385991778937,1.5314804310833807
2019-02-17,East,Dairy Products,35842.74,1,1,5274.64,0.4,35842.74,0.14716062443886826,0.5851047236714265,0.40909090909090906,0.5287058909744998,1.6847359800327588
2019-02-18,East,Dairy Products,27586.44,1,8,3711.23,0.02,27586.44,0.1345309507134665,0.43434940660710275,0.4,0.367547029932351,0.0818952910207663
2019-02-19,East,Dairy Products,52367.4,2,13,8000.349999999999,0.33999999999999997,26183.7,0.15277348121159345,0.8549434872640558,0.8,0.8445528273336009,1.3756231486164294
2019-02-22,East,Dairy Products,45628.25,2,12,8579.17,0.26,22814.125,0.1880232093056385,0.7648392628619305,0.835820895522388,0.9313374584852919,1.0779063741578858
2019-02-23,East,Dairy Products,116492.65,3,11,18839.739999999998,0.09333333333333334,38830.88333333333,0.16172470967052427,2.040213024522047,1.2857142857142856,2.138507925764146,0.38030081996076265
2019-02-24,East,Dairy Products,143856.34,6,27,21094.82,0.19666666666666666,23976.056666666667,0.14663809742413855,2.4782292638645718,2.5573770491803276,2.3510321019118763,0.8252192156651784
2019-02-25,East,Dairy Products,82643.45,3,13,9760.11,0.24,27547.816666666666,0.11809901450145173,1.4576482745704393,1.3,1.1001660982365806,1.0179998912393278
2019-02-26,East,Dairy Products,88848.05,4,18,18942.5,0.16,22212.0125,0.2132010775700761,1.534973552903668,1.7049180327868851,2.1248983133224595,0.6771935536382875
2019-02-27,East,Dairy Products,69347.94,2,13,10756.83,0.36,34673.97,0.1551139082141445,1.135798584392981,0.8,1.155870731800458,1.525755270593349
2019-02-28,East,Dairy Products,37686.42,2,11,4628.51,0.42500000000000004,18843.21,0.12281638850280818,0.6312472649597036,0.8253968253968255,0.5157048126959933,1.8154435925520267
2019-03-02,East,Dairy Products,92965.51999999999,5,30,16631.13,0.166,18593.104,0.17889568089330327,1.5334229735152778,2.03125,1.8157935845255415,0.6885402818399362
2019-03-03,East,Dairy Products,64558.01,3,14,12917.16,0.19666666666666666,21519.336666666666,0.20008609311222572,1.1067008159605292,1.2580645161290323,1.4743712624744056,0.8004174276024001
2019-03-04,East,Dairy Products,50700.04,2,14,7230.69,0.285,25350.02,0.14261704724493313,0.8485088036886158,0.8333333333333334,0.8104619192103737,1.1458054140980969
2019-03-05,East,Dairy Products,56661.04,2,5,11439.73,0.19999999999999998,28330.52,0.2018976354828644,0.8987833628018673,0.78125,1.2052032549515532,0.7943653021236031
2019-03-06,East,Dairy Products,43096.67,2,6,4644.53,0.33,21548.335,0.10777004348595842,0.6588251609281099,0.7575757575757576,0.465480818886567,1.2949301522523937
2019-03-07,East,Dairy Products,42587.19,1,1,8583.72,0.09,42587.19,0.20155638350405367,0.662259462890829,0.3846153846153846,0.8805168580984795,0.3517823639774859
2019-03-08,East,Dairy Products,130311.99,4,17,25845.010000000002,0.1775,32577.9975,0.1983317881953917,2.014661197384891,1.5384615384615383,2.6140817398415077,0.7185071243523315
2019-03-09,East,Dairy Products,147574.53,6,19,17690.670000000002,0.24666666666666667,24595.755,0.11987617375437348,2.2499680421952672,2.3076923076923075,1.7848671437190011,0.9611388196176225
2019-03-10,East,Dairy Products,42069.36,1,7,5178.71,0.5,42069.36,0.12309932929809249,0.6651676371273353,0.3968253968253968,0.5424287454440347,1.974931535706762
2019-03-11,East,Dairy Products,91280.62,3,26,13401.15,0.26666666666666666,30426.873333333333,0.1468126531130047,1.3867017775713506,1.164179104477612,1.3171828964339656,1.0655464767808203
2019-03-12,East,Dairy Products,20384.53,1,2,2541.61,0.47,20384.53,0.12468327697523565,0.2909161932859456,0.3611111111111111,0.2371747454193866,1.9023896629563322
